,ID,genre,positive,negative,neutral,compund
60,329,Western Stories,3.550998381003778e-05,0.0,7.242309767943875e-05,2.5914732865623313e-05
61,254,Ghost and Horror,0.0,0.0,0.00028653295128939826,0.0
62,356,Literary,0.0,0.0,0.000641025641025641,0.0
63,341,Literary,1.67989417989418e-05,3.1349206349206345e-05,8.412698412698413e-05,-5.402116402116402e-05
64,266,Ghost and Horror,2.2466039707419015e-05,0.0,0.0005,0.00014273772204806688
65,300,Humorous and Wit and Satire,0.0,0.0,0.0002608242044861763,0.0
66,293,Humorous and Wit and Satire,1.2025554302893649e-05,4.321683577602405e-06,0.00017173994738819994,9.098083427282976e-05
67,191,Allegories,5.384063173007897e-05,0.0,0.00018545106484804978,0.0001053840631730079
68,409,Sea and Adventure,2.389185790631877e-05,1.5089594467148696e-05,0.0002750707324740648,0.00011354919836529394
69,240,Christmas Stories,0.00028507795100222717,0.00033184855233853004,0.0016102449888641425,-0.0005040089086859688
70,376,Literary,3.087182020251914e-05,0.0,0.000216102741417634,0.00017061002716720178
71,306,Love and Romance,1.4823761941363786e-05,0.0,9.498188206873833e-05,7.121994070495223e-05
72,108,Detective and Mystery,0.0,0.0,0.00030627871362940275,0.0
73,358,Literary,8.918406072106261e-05,0.0,0.0005433270082226438,0.000352561669829222
74,248,Christmas Stories,0.00028507795100222717,0.00033184855233853004,0.0016102449888641425,-0.0005040089086859688
75,227,Christmas Stories,2.4515840143288928e-05,0.0,8.742863539684316e-05,7.129743647151013e-05
76,209,Allegories,5.384063173007897e-05,0.0,0.00018545106484804978,0.0001053840631730079
77,406,Sea and Adventure,0.0,4.606741573033708e-05,0.0005157303370786517,-0.00029589887640449434
78,384,Sea and Adventure,2.337441563960901e-05,0.0,0.00011828870944893043,0.00011282051282051281
79,372,Literary,0.0,1.6666666666666667e-05,0.0001997835497835498,-8.162337662337662e-05
80,121,Detective and Mystery,0.0,0.0,0.00012779552715654952,0.0
81,194,Allegories,5.384063173007897e-05,0.0,0.00018545106484804978,0.0001053840631730079
82,386,Sea and Adventure,6.176582038651004e-05,1.8757104964001517e-05,0.00010894278135657445,0.00017620310723759
83,310,Love and Romance,0.0,0.0,0.00021177467174925878,0.0
84,217,Allegories,5.384063173007897e-05,0.0,0.00018545106484804978,0.0001053840631730079
85,172,Love and Romance,4.034497880426838e-05,0.0,0.00010583248063148662,9.310042391463237e-05
86,309,Love and Romance,1.0821573889706519e-05,0.0,7.575101722794563e-05,4.420396502467319e-05
87,265,Ghost and Horror,0.00011634615384615385,0.0,0.0008451923076923076,0.0006913461538461538
88,268,Ghost and Horror,5.0505050505050505e-05,3.254769921436588e-05,0.000478675645342312,7.18294051627385e-05
89,101,Detective and Mystery,0.0,3.925536220153784e-05,0.00036543909348441927,-0.00016264670174018616
90,257,Ghost and Horror,0.0,0.0,0.00028653295128939826,0.0
91,169,Humorous and Wit and Satire,5.3201656578528194e-05,0.0,0.00026537113730487415,0.000167792290538388
92,127,Detective and Mystery,5.385638297872341e-05,6.150265957446809e-05,0.0002170877659574468,-9.85372340425532e-05
93,158,Western Stories,3.274067649609714e-05,2.2766695576756287e-05,0.00016131830008673026,9.167389418907199e-05
94,131,Detective and Mystery,1.142767689417658e-05,0.0,0.00014511584220413276,4.038822792736381e-06
95,365,Literary,2.154793315743184e-05,3.4740545294635004e-05,0.0003834652594547054,-1.1345646437994723e-05
96,155,Western Stories,1.5921616656460503e-05,0.0,0.00018820167381098185,6.844253929373342e-05
97,338,Literary,0.0,0.0,0.0018083182640144665,0.0
98,105,Detective and Mystery,0.004652173913043478,0.0018260869565217392,0.01526086956521739,0.012432608695652173
99,279,Humorous and Wit and Satire,1.2025554302893649e-05,4.321683577602405e-06,0.00017173994738819994,9.098083427282976e-05
100,181,Humorous and Wit and Satire,1.2025554302893649e-05,4.321683577602405e-06,0.00017173994738819994,9.098083427282976e-05
101,314,Love and Romance,4.5329868629998556e-05,0.0,9.903277031904143e-05,0.00011940233867475097
102,187,Western Stories,0.0,0.0,0.0005042864346949068,0.0
103,291,Humorous and Wit and Satire,8.069653854321511e-06,0.0,9.811000212359312e-05,1.0692291356976003e-05
104,367,Literary,0.0,0.0,0.00022988505747126436,0.0
105,177,Love and Romance,1.7603249830737983e-05,0.0,0.00020807944030692846,9.070187316632814e-05
106,132,Detective and Mystery,7.936925098554533e-05,0.0,0.00018344283837056502,0.00016738501971090672
107,104,Detective and Mystery,0.0,0.0,0.00019036740909956216,0.0
108,370,Literary,1.2315730546743796e-05,2.239223735771599e-05,0.0001518940100765068,-6.344467251352864e-05
109,204,Allegories,5.384063173007897e-05,0.0,0.00018545106484804978,0.0001053840631730079
110,253,Ghost and Horror,5.0505050505050505e-05,3.254769921436588e-05,0.000478675645342312,7.18294051627385e-05
111,182,Western Stories,2.5337052533705252e-05,0.0,0.00020711297071129706,0.00018642491864249189
112,236,Christmas Stories,0.00028507795100222717,0.00033184855233853004,0.0016102449888641425,-0.0005040089086859688
113,123,Detective and Mystery,0.0,3.869047619047619e-05,0.0003864795918367347,-0.0001352891156462585
114,352,Literary,7.24174653887114e-05,0.0,0.00046006389776357824,0.00038253461128860493
115,196,Allegories,0.00020529801324503313,0.0,0.0005305371596762325,0.0006653421633554084
116,245,Christmas Stories,8.008109477952357e-05,0.0,0.00042676127724277746,0.0003987328940699442
117,411,Sea and Adventure,1.9500594530321048e-05,8.4423305588585e-06,9.096313912009513e-05,6.444708680142687e-05
118,145,Ghost and Horror,0.00011634615384615385,0.0,0.0008451923076923076,0.0006913461538461538
119,399,Sea and Adventure,4.2241912219245824e-05,0.0,0.00016381619616731918,9.796002472697301e-05
120,242,Christmas Stories,0.00010836401893740136,0.0,0.0004176749079431878,0.00041788532351394003
121,189,Allegories,5.384063173007897e-05,0.0,0.00018545106484804978,0.0001053840631730079
122,312,Love and Romance,2.9568411386593206e-05,0.0,0.00015408631772268136,5.8438934802571165e-05
123,220,Allegories,5.384063173007897e-05,0.0,0.00018545106484804978,0.0001053840631730079
124,289,Humorous and Wit and Satire,0.0,0.0,0.0001326963906581741,0.0
125,308,Love and Romance,5.40143303325372e-05,0.0,0.00012970788168289546,0.00015021128054381775
126,229,Christmas Stories,0.00029571984435797666,0.00023929961089494162,0.0014105058365758755,0.00020330739299610895
127,331,Western Stories,2.1027506251420776e-05,1.2502841554898841e-05,8.013184814730621e-05,4.568083655376222e-05
128,287,Humorous and Wit and Satire,0.0,0.0,0.0001326963906581741,0.0
129,247,Christmas Stories,8.008109477952357e-05,0.0,0.00042676127724277746,0.0003987328940699442
130,122,Detective and Mystery,1.8035390199637025e-05,0.0,9.539473684210526e-05,7.088248638838476e-05
131,394,Sea and Adventure,4.651919323357189e-05,0.0,0.00011613532856213403,0.0001456896551724138
132,255,Ghost and Horror,0.00011634615384615385,0.0,0.0008451923076923076,0.0006913461538461538
133,404,Sea and Adventure,3.57870235670643e-05,8.14663951120163e-06,0.00024701774803607794,0.00024995635728833283
134,149,Allegories,0.00020529801324503313,0.0,0.0005305371596762325,0.0006653421633554084
135,260,Ghost and Horror,2.2466039707419015e-05,0.0,0.0005,0.00014273772204806688
136,134,Love and Romance,1.1410413808045065e-05,0.0,6.080739510363255e-05,4.122914710767675e-05
137,325,Western Stories,4.8584905660377355e-05,0.0,0.00010864779874213835,0.0001418553459119497
138,146,Western Stories,0.0,2.3043577458361855e-05,0.0002051106548026466,-0.00013048140543007073
139,234,Christmas Stories,0.00010836401893740136,0.0,0.0004176749079431878,0.00041788532351394003
140,335,Western Stories,6.148282097649186e-05,2.320675105485232e-05,0.00021699819168173598,0.00025666063893911995
141,116,Detective and Mystery,0.0,0.0,0.0001049317943336831,0.0
142,284,Humorous and Wit and Satire,0.0,0.0,0.0001326963906581741,0.0
143,141,Ghost and Horror,5.0505050505050505e-05,3.254769921436588e-05,0.000478675645342312,7.18294051627385e-05
144,333,Western Stories,4.934370442391833e-05,0.0,0.00019372873116188624,0.00010245503159941663
145,174,Western Stories,0.0,0.0,0.00018178512997636792,0.0
146,135,Love and Romance,0.0,0.0,0.0002574002574002574,0.0
147,228,Christmas Stories,8.008109477952357e-05,0.0,0.00042676127724277746,0.0003987328940699442
148,323,Western Stories,4.8584905660377355e-05,0.0,0.00010864779874213835,0.0001418553459119497
149,235,Christmas Stories,0.00028507795100222717,0.00033184855233853004,0.0016102449888641425,-0.0005040089086859688
150,117,Detective and Mystery,0.0,3.889158969372873e-06,9.333981526494896e-05,-2.6562955760816723e-05
151,115,Detective and Mystery,0.0,0.0,0.0002966478789676654,0.0
152,212,Allegories,0.00020529801324503313,0.0,0.0005305371596762325,0.0006653421633554084
153,320,Love and Romance,0.0,0.0,0.0002574002574002574,0.0
154,405,Sea and Adventure,3.9550072568940493e-05,0.0,0.0001418722786647315,0.0001444121915820029
