,index,ID,genre,book_lenght,book_sen,book_word,lenght_book,number_sen,number_word,number_of_stop_words,number_of_foreignwords,count_dial_break,noun,verb,adj,ProperNoun,num,Puch,she,he,she_he_ratio,period,comma,colon,semi_colon,exl,q
23,43,143,Love and Romance,463532,4722,101473,0.008532602951219007,0.007355587021641501,0.00847332372266772,0.3827520621249002,0.00017738708819094734,236,0.21346565096133946,0.14497452524316815,0.057128497235717876,0.0,0.003409774028559321,0.046544400973658015,2100,2830,0.7420494699646644,0.039705143240073716,0.05786761010318016,0.0008672257644890759,0.003114128881574409,0.003784257881406877,0.0034196288667921516
24,92,192,Allegories,140074,1359,30962,0.002578453754625465,0.0021169510297354512,0.0025854271491060478,0.40349460629158324,0.0,77,0.1807376784445449,0.15609456753439702,0.059298494929268135,0.0,0.0050384342096763774,0.04389251340352691,649,608,1.0674342105263157,0.0375621729862412,0.06633938376073897,0.001873264001033525,0.007170079452231768,0.0036173373813061173,0.0029390866223112204
25,936,374,Literary,355235,5785,80637,0.006539093761328848,0.009011450851375707,0.006733450326931864,0.35038505896796757,3.720376502102013e-05,33,0.18646527028535287,0.1541351984820864,0.05483834964098367,0.0,0.004538859332564455,0.0717288589605268,2656,1841,1.4426941879413362,0.056090876396691344,0.03251609062837159,0.001240125500700671,0.0006076614953433288,0.008234433324652455,0.007651574339323139
26,458,357,Literary,274255,3573,61236,0.005048430361628903,0.00556575866758261,0.005113404072820165,0.3782578875171468,8.165131621921746e-05,183,0.19039453915997126,0.161832908746489,0.04894179894179894,0.0,0.004523482918544647,0.05838069109674048,973,2340,0.41581196581196583,0.04931739499640734,0.05998105689463714,0.0005388986870468352,0.0016983473773597231,0.004049905284473186,0.006613756613756613
27,688,402,Sea and Adventure,342382,3074,75733,0.006302498346703714,0.004788452881094023,0.006323950464545195,0.38881333104459087,0.00021126853551292038,250,0.18644448259015226,0.15620667344486552,0.05016307290084904,0.0,0.004568682080466903,0.04058996738541983,1496,1212,1.2343234323432344,0.035030964044736115,0.07002231523906355,0.0008318698585821241,0.0054533690729272576,0.002495609575746372,0.005611820474561948
28,20,350,Literary,292103,2940,61671,0.005376972722185147,0.004579717459471837,0.005149727979863028,0.4035446157837557,6.486030711355418e-05,65,0.2059801203158697,0.15452968169804285,0.05728786625804673,0.0,0.0034375962770183716,0.047996627264030096,1042,1990,0.5236180904522613,0.04663456081464546,0.05188824569084335,0.0010215498370384783,0.0007458935318058731,0.0020593147508553454,0.0014917870636117461
29,546,396,Sea and Adventure,337135,3919,74486,0.006205912635932837,0.006104732218935418,0.00621982193102232,0.39982010042155575,0.00010740273339956502,116,0.1737776226404962,0.1664473860859759,0.04936498133877507,0.0,0.004108154552533362,0.05260048868243697,2680,1909,1.4038763750654792,0.04596836989501383,0.05807802808581478,0.0013022581424697258,0.004349810702682384,0.005370136669978251,0.0038396477190344495
30,52,152,Western Stories,74812,678,16323,0.0013771241079075368,0.0010561389243271787,0.001363023298070474,0.41769282607363845,6.126324817741837e-05,5,0.17429394106475526,0.16896403847331987,0.05409544814066042,0.0,0.004717270109661214,0.04147521901611224,80,278,0.28776978417266186,0.038167003614531646,0.045518593395821844,0.0007964222263064387,0.006493904306806347,0.0009189487226612755,0.0030018991606935
31,54,154,Western Stories,488127,8798,115440,0.008985342718020935,0.013704882383820824,0.009639613400064665,0.31475225225225223,0.00014726264726264726,212,0.1886781011781012,0.16513340263340262,0.04285343035343035,0.0,0.005206167706167706,0.07623873873873874,828,3331,0.24857400180126088,0.06526334026334027,0.050225225225225226,0.00014726264726264726,6.0637560637560636e-05,0.0031704781704781707,0.009745322245322246
32,192,292,Humorous and Wit and Satire,293900,3139,65817,0.005410051533363967,0.004889705137851053,0.005495932390437076,0.417597277299178,6.077457191910905e-05,120,0.15395718431408298,0.173602564686935,0.05161280520230336,0.0,0.004785997538629837,0.047692845313520825,440,1620,0.2716049382716049,0.04624944923044198,0.057705456037194035,0.0014130087971192854,0.0025221447346430253,0.0020055608733305984,0.00416305817645897
