,index,ID,genre_x,book_lenght,book_sen,book_word,lenght_book,number_sen,number_word,number_of_stop_words,number_of_foreignwords,count_dial_break,noun,verb,adj,ProperNoun,num,Puch,she,he,she_he_ratio,period,comma,colon,semi_colon,exl,q,genre_y,positive_x,negative_x,neutral,compund,genre,positive_y,negative_y,anger,disgust,fear,sadness,anticipation,joy,surprise,trust
10,133,233,Christmas Stories,143747,1901,31704,0.002646065592944777,0.0029612390783863816,0.0026473865491653684,0.38357935907141055,0.00012616704516780214,23,0.22035074438556648,0.15799268231138028,0.05428337118344689,0.0,0.004699722432500632,0.05999242997728992,382,901,0.4239733629300777,0.06235806207418624,0.03879636638909917,0.0010724198839263184,0.00041004289679535705,0.003942720161493818,0.0028703002775674995,Christmas Stories,0.00010836401893740135,0.0,0.0004176749079431878,0.00041788532351394,Christmas Stories,0.08253521126760603,0.08957746478873284,0.03971830985915496,0.02281690140845069,0.03549295774647886,0.047605633802817,0.05098591549295787,0.03887323943661974,0.04507042253521134,0.05549295774647904
11,218,318,Love and Romance,697956,8140,156611,0.012847832351209868,0.01267989800003427,0.013077525071011151,0.3769786285765368,0.00044058207916429883,51,0.164100861369891,0.1528564404799152,0.06625332831027195,0.0,0.003818378019423923,0.05197591484633902,5191,3575,1.452027972027972,0.02685635108644986,0.04785104494575732,0.00030649188115777315,0.0007023772276532298,0.020266775641557745,0.005657329306370562,Love and Romance,0.0,0.0,0.00012285012285012285,0.0,Love and Romance,0.10095631946239697,0.07490307573016337,0.02760403204962489,0.012561385370896794,0.0432153011113977,0.04094081157921888,0.05034892737141309,0.05955027138795468,0.056862238304470625,0.059601964331867825
12,36,136,Christmas Stories,143747,1901,31704,0.002646065592944777,0.0029612390783863816,0.0026473865491653684,0.38357935907141055,0.00012616704516780214,23,0.22035074438556648,0.15799268231138028,0.05428337118344689,0.0,0.004699722432500632,0.05999242997728992,382,901,0.4239733629300777,0.06235806207418624,0.03879636638909917,0.0010724198839263184,0.00041004289679535705,0.003942720161493818,0.0028703002775674995,Christmas Stories,0.00010836401893740135,0.0,0.0004176749079431878,0.00041788532351394,Christmas Stories,0.08253521126760603,0.08957746478873284,0.03971830985915496,0.02281690140845069,0.03549295774647886,0.047605633802817,0.05098591549295787,0.03887323943661974,0.04507042253521134,0.05549295774647904
13,181,281,Humorous and Wit and Satire,293900,3139,65817,0.0054100515333639675,0.004889705137851053,0.005495932390437076,0.41759727729917795,6.077457191910905e-05,120,0.15395718431408298,0.173602564686935,0.05161280520230336,0.0,0.004785997538629837,0.047692845313520825,440,1620,0.2716049382716049,0.04624944923044198,0.057705456037194035,0.0014130087971192856,0.002522144734643025,0.0020055608733305984,0.0041630581764589706,Humorous and Wit and Satire,5.3201656578528194e-05,0.0,0.0002653711373048741,0.000167792290538388,Humorous and Wit and Satire,0.08254771211772853,0.08013336399172244,0.03092664980455258,0.015750747298229496,0.034835594389514585,0.03702000459875807,0.05173603127155621,0.0351805012646583,0.042653483559438606,0.0597838583582427
14,7,107,Detective and Mystery,366145,4227,82911,0.0067399228264156145,0.006584512143261039,0.006923336682369728,0.39562904801534177,7.236675471288491e-05,126,0.17567029706552809,0.17196753144938548,0.04649563990302855,0.0,0.005837584880172715,0.05098237869522741,1581,2286,0.6916010498687664,0.046157928381035086,0.04850984790920385,0.002315736150812317,0.00030152814463702037,0.00206245250931722,0.005005367200974539,Detective and Mystery,0.0,0.0,0.0002365744026496333,0.0,Detective and Mystery,0.058081276674707874,0.07506030803488606,0.028112822416032718,0.013082204490629079,0.03794767118203757,0.035349786602338173,0.040174429393208484,0.022453145295973326,0.04230840601224727,0.038411579142698174
15,124,368,Literary,954228,13155,224431,0.017565235299689796,0.020491899040595923,0.018740714440314558,0.3732862216004028,0.0002539756094300698,710,0.15920260570063852,0.17180336049832687,0.039428599435906805,0.0,0.003560114244467119,0.060553132143064015,3298,7941,0.4153129328799899,0.08320151850680164,0.060789284902709524,0.0004188369699373081,0.0006282554549059622,0.013616657235408657,0.0055384505705539785,Literary,4.066894716837705e-05,0.0,3.5347776510832386e-05,2.4188521474724438e-05,Literary,0.07201770267551634,0.07473345403339192,0.03463421176154985,0.0171662308053377,0.03852343592838403,0.03607590692684183,0.035606517803258395,0.035338295446925,0.042513243478843235,0.03892576946288412
16,234,334,Western Stories,356060,3318,77339,0.006554280193839993,0.005168538275689645,0.006458056659282754,0.3984018412443916,0.000543063654818397,168,0.17305628466879586,0.15622131136942552,0.051073843726968285,0.0,0.0046677614140343176,0.04290202873065336,245,1845,0.13279132791327913,0.034937095126650206,0.07968812630109001,0.00045255304568199737,0.011068154488679708,0.002637737751975071,0.005792678984729567,Western Stories,6.148282097649186e-05,2.320675105485232e-05,0.000216998191681736,0.00025666063893911995,Western Stories,0.10597201921068837,0.12455627479640445,0.0415535602422218,0.01743579035289206,0.06849029024848577,0.06389642931718519,0.06786385466694479,0.0383169764042598,0.0442681144288996,0.07162246815619074
17,570,342,Literary,428091,5351,103212,0.007880212218337236,0.00833539732164415,0.008618535847604594,0.3843932876022168,0.00011626555051738171,267,0.1484420416230671,0.17524125101732355,0.04629306669767081,0.0,0.0053288377320466615,0.05184474673487579,3212,2027,1.584607794770597,0.045285431926520174,0.0682963221330853,0.0015017633608495134,0.004127427043367051,0.0012110994845560591,0.007266596907336356,Literary,0.0,0.0,0.00018688095683049895,0.0,Literary,0.08030933967876103,0.08149910767400192,0.03252032520325162,0.016326260823583842,0.045277282041112366,0.051887104236895125,0.05082953268556988,0.047921210919425465,0.040319915394275284,0.05466322955912389
18,90,190,Allegories,140074,1359,30962,0.0025784537546254646,0.0021169510297354512,0.002585427149106048,0.4034946062915832,0.0,77,0.1807376784445449,0.15609456753439702,0.059298494929268135,0.0,0.005038434209676378,0.043892513403526914,649,608,1.0674342105263157,0.0375621729862412,0.06633938376073897,0.001873264001033525,0.007170079452231769,0.0036173373813061173,0.0029390866223112204,Allegories,0.00020529801324503316,0.0,0.0005305371596762325,0.0006653421633554084,Allegories,0.10836594911937247,0.07729941291585085,0.031066536203522507,0.017367906066536203,0.03938356164383562,0.053326810176125235,0.06824853228962803,0.0511252446183953,0.038405088062622314,0.06629158512720146
19,199,299,Humorous and Wit and Satire,368128,5322,82436,0.006776425487833311,0.008290223237860243,0.006883672645943613,0.3208428356543257,0.0002668736959580766,319,0.21571886069193072,0.14594351982143725,0.0558008637003251,0.0,0.006817409869474501,0.06460769566694162,562,3681,0.15267590328715022,0.06563879858314328,0.06562666796059974,0.001091756028919404,0.004257848512785676,0.003445096802367897,0.008054733368916494,Humorous and Wit and Satire,1.2025554302893647e-05,4.321683577602404e-06,0.00017173994738819994,9.098083427282976e-05,Humorous and Wit and Satire,0.0749974245389928,0.10404862470382403,0.045431132172658616,0.017101061089935032,0.04944885134439032,0.0429586896054391,0.04728546409807325,0.034305140620170815,0.04337076336664236,0.05253940455341472
